114;Towards Agile Scalability Engineering;5/24/2018 12:15 PM;5/24/2018 12:30 PM;Research;;Scalability engineering is currently not well integrated into agile de- velopment techniques. By scalability we mean the ability of a system to handle increasing workload. This paper extends agile development techniques so that scalability can also be handled. Using action research, we have conducted three pilots in three Norwegian software organizations. These three pilots have com- pletely different architectures and also operate in different markets, yet have in common scalability challenges. As a result, we describe common challenges for scalability engineering using agile development techniques and we propose the ScrumScale Method which includes scalability engineering in an incremental and iterative development process.;"Geir Kjetil Hanssen; Gunnar Brataas; Georg Ræder";B002
117;Developers' initial perceptions on TDD practice: A thematic analysis considering distinct domains and languages;5/22/2018 3:00 PM;5/22/2018 3:30 PM;Research;;"Test-Driven Development (TDD) is one of the most popular agile practices among software developers. To investigate the software developers’ initial perceptions when applying TDD, we have performed an exploratory study. This study was carried out with participants who had about ten years of professional experience (on average), the majority of whom with no experience using TDD. The study is in the context of an agile project course at the postgraduate level of a research institute. Participants individually developed medium size projects addressed to different domains and using different programming languages. Through a structured questionnaire with open and semi-open questions, we collected information on TDD effects such as the perceived benefits, encountered difficulties, and developer’s opinion about the quality improvement of the software. Afterwards, we conducted a thematic analysis of the qualitative data. Most participants noticed improvements in code quality, but few have a more comprehensive view of the effects of TDD on software design. Our findings suggest that after overcoming the initial difficulties to understand where to start, and after knowing how to create a test for a feature that does not yet exist; participants gain greater confidence to implement new features and make changes due to broad test coverage.";"Tiago Silva; Herez Moise Kattan; Eduardo Guerra; Joelma Choma";B003
119;Teamwork quality and team performance: Exploring differences between small and large agile projects;5/24/2018 12:00 PM;5/24/2018 12:15 PM;Research;;Agile principles were originally developed for small projects but are now widely used in larger projects with hundreds of developers. Teamwork quality is essential in any development work, but how does teamwork quality differ in small and large agile projects? We report from an explorative survey with 64 agile teams and 320 team members and team leaders, from 31 teams in small projects and 33 teams in large projects. For small projects, teamwork quality was considered by both team members and team leaders to primarily affect product quality. For large projects, the effect of teamwork quality on product quality was positive when it was rated by team members but was negative when rated by team leaders. At a finer granularity, the six dimensions of teamwork quality that we investigated affected team performance differently in small and large projects. These findings question to what extent findings from previous studies on teamwork in agile development in small projects apply to large projects.;"Gunnar Bergersen; Yngve Lindsjørn; Dag Sjøberg; Torgeir Dingsøyr";B002
120;Myths and Facts about Static Application Security Testing Tools: An Action Research at Telenor Digital;5/23/2018 12:00 PM;5/23/2018 12:30 PM;Research;;It is claimed that integrating agile and security in practice is challenging. There is the notion that security is a heavy process, requires expertise, and consumes developers’ time. These contrast with the agile vision. Regardless of these challenges, it is important for organizations to address security within their agile processes since critical assets must be protected against attacks. One way is to integrate tools that could help to identify security weaknesses during implementation and suggest methods to refactor them. We used quantitative and qualitative approaches to investigate the efficiency of the tools and what they mean to the ac- tual users (i.e. developers) at Telenor Digital. Our findings, although not suprising, show that several barriers exist both in terms of tool’s performance and developers’ perceptions. We suggest practical ways for improvement.;"Daniela S Cruzes; Tosin Daniel Oyetoyan; Bisera Milosheska; Mari Grini";B217
122;Challenges and Strategies for Undertaking Continuous Experimentation to Embedded Systems: Industry and Research Perspectives;5/24/2018 12:00 PM;5/24/2018 12:30 PM;Research;;"Abstract. Context: Continuous experimentation is frequently used in web-facing companies and it is starting to gain the attention of embedded systems companies. However, embedded systems companies have different challenges and requirements to run experiments in their systems. Objective: This paper explores the challenges during the adoption of continuous experimentation in embedded systems from both industry practice and academic research. It presents strategies, guidelines, and solutions to overcome each of the identified challenges. Method: This research was conducted in two parts. The first part is a literature review with the aim to analyze the challenges in adopting continuous experimentation from the research perspective. The second part is a multiple case study based on interviews and workshop sessions with five companies to understand the challenges from the industry perspective and how they are working to overcome them. Results: This study found a set of twelve challenges divided into three areas; technical, business, and organizational challenges and strategies grouped into three categories, architecture, data handling and development processes. Conclusions: The set of identified challenges are presented with a set of strategies, guidelines, and solutions. To the knowledge of the authors, this paper is the first to provide an extensive list of challenges and strategies for continuous experimentation in embedded systems. Moreover, this research points out open challenges and the need for new tools and novel solutions for the further development of experimentation in embedded systems.";"David Issa Mattos; Jan Bosch; Helena Holmström Olsson";B001
123;Improving Mockup-based Requirement Specification with End-User Annotations;5/23/2018 3:00 PM;5/23/2018 3:30 PM;Research;;Agile approaches, one of the key methodologies used in today’s software projects, often rely on user interface mockups for capturing the goals that the system must satisfy. Mockups, as any other requirement artifact, may suffer from ambiguity and contradiction issues when several points of view are surveyed / elicited by different analysts. This article introduces a novel approach that enhances mockups with friendly end-user annotations that helps formalizing the requirements and reducing or identifying conflicts. We present an evaluation of the approach in order to measure how the use of annotations improves requirements quality.;"Mario Matias Urbieta; Nahime Torres;  Gustavo Rossi; Francisco José Dominguez-Mayo; José Matías Rivero";B001
124;Technical and Organizational Agile Practices: A Latin-American Survey;5/22/2018 5:30 PM;5/22/2018 6:00 PM;Research;;Background: Agile Software Development is widely used nowadays and to measure its real usage we need to analyze how its practices are used. These practices have been categorized by several authors and some practitioners have suggested that technical practices have a lower usage level than organizational practices. Objective: In this study we aim to understand the actual usage of tech- nical and organizational agile practices in the Latin-American Agile community. Method: We conducted a three-stage survey in conferences of the Latin-Ameri- can Agile Community. Results: Organizational practices are much more used than technical ones. The number of practices used is a direct function of organi- zation experience using agile. The difference between technical and organiza- tional practices reduces with the experience of the organization using agile. Team size and project duration seem to have no effect in number of practices used.;"Nicolas Paez; Diego Fontdevila; Alejandro Oliveros; Fernando Gainey";B003
126;Do Agile Methods Work for Large Software Projects?;5/24/2018 3:00 PM;5/24/2018 3:30 PM;Research;;Is it true that agile methods do not scale well and are mainly useful for smaller software projects? Or is it rather the case that it is particularly in the context of larger, typically more complex software projects that the use of agile methods is likely to make the difference between success and failure? To find out more about this, we conducted a questionnaire-based survey collecting information about 122 Norwegian software projects. Project success was measured as the combined performance of the project regarding delivered client benefits, cost control, and time control. We found that that projects using agile methods performed on average much better than those using non-agile methods for medium and large software projects, but not so much for smaller projects. This result gives support for the claim that agile methods are more rather than less successful compared to traditional methods when project size increases. There may consequently be more reasons to be concerned about how non-agile, rather than how agile methods, scale.;Magne Jørgensen;B217
130;Combining STPA and BDD for Safety Analysis and Verification in Agile Development: A Controlled Experiment;5/23/2018 5:00 PM;5/23/2018 5:30 PM;Research;;Context: Agile development is in widespread use, even in safety-critical domains. Motivation: However, there is a lack of an appropriate safety analysis and verification method in agile development. Objective: In this paper, we investigate the use of Behavior Driven Development (BDD) instead of standard User Acceptance Testing (UAT) for safety verification with System-Theoretic Process Analysis (STPA) for safety analysis in agile development. Method: We evaluate the effect of this combination in a controlled experiment with 44 students in terms of productivity, test thoroughness, fault detection effectiveness and communication effectiveness. Results: The results show that BDD is more effective for safety verification regarding the impact on communication effectiveness than standard UAT, whereas productivity, test thoroughness and fault detection effectiveness show no statistically significant difference in our controlled experiment. Conclusion: The combination of BDD and STPA seems promising, but the impact on communication needs more research.<br><br><strong>Authors: Stefan Wagner, Yang Wang</strong>;Yang Wang;B001
131;ICOs overview: should investors choose an ICO developed with the Lean Startup methodology?;5/24/2018 5:30 PM;5/24/2018 6:00 PM;Research;;An Initial Coin Offering (ICO) is an innovative way to raise funds and launch a startup and even as an opportunity to take part in a project, in a DAO (Decentralized Autonomous Organization). The use of ICO is a global phenomenon that involves many nations and several business categories: ICOs collected over 5.2 billion dollars only in 2017. The success of an ICO is based on the credibility and innovativeness of project proposals. This fund-raising tool contains however some critical issues such as the use of token that must have an intrinsic value and does not generate direct liquidity and the role of investors in the management of startup. We analyzed if the Lean Startup methodology is helpful to face this critical aspects and we examined at some ICOs in which the proposing team states explicitly that a lean startup approach is used.;"Andrea Pinna; Simona Ibba; Gavina Baralla; Michele Marchesi";B001
